index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,8,256,375,66.1646,0.00137582,1
1,8,256,375,62.4881,0.00140187,1
2,8,256,375,70.4239,0.00144196,1
3,8,256,375,52.775,0.00142455,1
4,8,256,375,45.1049,0.00140649,1
5,6,217,618,72.9272,0.00191828,1
6,6,217,618,75.3077,0.00185967,1
7,6,217,618,64.4597,0.00187023,1
8,6,217,618,69.3175,0.00183038,1
9,6,217,618,72.8134,0.00192682,1
10,8,119,1023,92.0336,0.00229252,1
11,8,119,1023,66.6723,0.00244927,1
12,8,119,1023,99.2185,0.00235852,1
13,8,119,1023,68.4622,0.0022857,1
14,8,119,1023,82.0924,0.00229271,1
15,4,221,359,63.8586,0.00140654,1
16,4,221,359,58.0914,0.00139594,1
17,4,221,359,88.4149,0.00137144,1
18,4,221,359,60.0118,0.00138047,1
19,4,221,359,59.3702,0.00139033,1
20,6,270,1053,50.4216,0.0029201,1
21,6,270,1053,71.7313,0.00276112,1
22,6,270,1053,91.1007,0.00276723,1
23,6,270,1053,89.097,0.00277166,1
24,6,270,1053,73.6868,0.0028322,1
25,8,173,395,69.471,0.00125379,1
26,8,173,395,87.8137,0.00132074,1
27,8,173,395,73.1627,0.00136634,1
28,8,173,395,72.3822,0.00130964,1
29,8,173,395,61.2683,0.00134393,1
30,5,207,688,60.5665,0.00193275,1
31,5,207,688,64.0149,0.00195378,1
32,5,207,688,56.7463,0.00190557,1
33,5,207,688,53.6845,0.00190021,1
34,5,207,688,47.0644,0.00195969,1
35,6,212,259,56.069,0.00112261,1
36,6,212,259,46.3516,0.00107151,1
37,6,212,259,55.9276,0.00111385,1
38,6,212,259,71.7477,0.00108567,1
39,6,212,259,61.027,0.00112052,1
40,7,163,1237,59.816,0.00284094,1
41,7,163,1237,53.8528,0.00290084,1
42,7,163,1237,97.0429,0.00285004,1
43,7,163,1237,60.0061,0.00283759,1
44,7,163,1237,54.9693,0.00284202,1
45,4,201,778,78.5427,0.00213024,1
46,4,201,778,72.196,0.00208268,1
47,4,201,778,57.56,0.00210959,1
48,4,201,778,83.0804,0.0020664,1
49,4,201,778,76.5323,0.00208586,1
50,10,140,1410,65.4071,0.00315631,1
51,10,140,1410,54.8571,0.00310504,1
52,10,140,1410,73.2929,0.00308629,1
53,10,140,1410,81.0286,0.00301758,1
54,10,140,1410,56.8214,0.00302512,1
55,8,171,972,75.4854,0.00231849,1
56,8,171,972,75.2398,0.00240288,1
57,8,171,972,65.0819,0.00240164,1
58,8,171,972,65.2807,0.00234344,1
59,8,171,972,72.8012,0.0024222,1
60,5,161,1204,65.4969,0.00274041,1
61,5,161,1204,61.0497,0.00288593,1
62,5,161,1204,58.6211,0.00278362,1
63,5,161,1204,67.7081,0.00272567,1
64,5,161,1204,79.7205,0.00280034,1
65,9,223,783,93.1545,0.00213916,1
66,9,223,783,95.1629,0.00222373,1
67,9,223,783,83.5207,0.0022691,1
68,9,223,783,88.1429,0.00219965,1
69,9,223,783,77.4931,0.00218056,1
70,7,245,1228,76.2746,0.00304621,1
71,7,245,1228,65.6107,0.00329924,1
72,7,245,1228,63.8525,0.00322235,1
73,7,245,1228,82.3498,0.00305631,1
74,7,245,1228,65.2593,0.00312629,1
75,7,238,785,69.2165,0.00221236,1
76,7,238,785,52.3544,0.00217985,1
77,7,238,785,57.2017,0.00221469,1
78,7,238,785,55.3233,0.00228344,1
79,7,238,785,48.0298,0.00229371,1
80,10,149,1137,62.2617,0.00261303,1
81,10,149,1137,91.1342,0.00259364,1
82,10,149,1137,61.443,0.00265271,1
83,10,149,1137,77.9262,0.0025958,1
84,10,149,1137,67.2886,0.00254977,1
85,8,278,1244,62.9457,0.00324301,1
86,8,278,1244,55.5683,0.00320673,1
87,8,278,1244,73.0291,0.00311927,1
88,8,278,1244,65.4712,0.00315041,1
89,8,278,1244,68.213,0.00320763,1
90,9,149,1403,55.2282,0.00311295,1
91,9,149,1403,85.7047,0.00310571,1
92,9,149,1403,76.1745,0.00305405,1
93,9,149,1403,81.7047,0.0033638,1
94,9,149,1403,53.2752,0.00316323,1
95,6,157,705,55.6603,0.00177735,1
96,6,157,705,71.4103,0.00177105,1
97,6,157,705,92.9744,0.00184854,1
98,6,157,705,57.5987,0.00177872,1
99,6,157,705,81.121,0.00182287,1
100,6,267,698,59.753,0.00214326,1
101,6,267,698,61.4648,0.00212254,1
102,6,267,698,49.4163,0.002223,1
103,6,267,698,64.3135,0.0021276,1
104,6,267,698,59.7611,0.00217816,1
105,7,290,1221,58.1215,0.00323516,1
106,7,290,1221,70.7263,0.00328155,1
107,7,290,1221,62.0934,0.00331708,1
108,7,290,1221,71.7073,0.00336703,1
109,7,290,1221,77.6189,0.00313284,1
110,7,233,1106,62.0568,0.00279424,1
111,7,233,1106,94.8798,0.00283257,1
112,7,233,1106,84.0087,0.00284136,1
113,7,233,1106,72.3991,0.00280727,1
114,7,233,1106,80.897,0.00265489,1
115,10,251,252,18.8286,0.00113316,1
116,10,251,252,63.0204,0.00115825,1
117,10,251,252,41.4737,0.00120848,1
118,10,251,252,47.9048,0.00115593,1
119,10,251,252,57.8958,0.00126472,1
120,10,142,1445,76.8451,0.00307495,1
121,10,142,1445,87.3099,0.00311326,1
122,10,142,1445,74.2747,0.0031219,1
123,10,142,1445,88.0986,0.00317562,1
124,10,142,1445,91.7535,0.00317047,1
125,9,199,1030,83.1457,0.00261355,1
126,9,199,1030,83.392,0.00247659,1
127,9,199,1030,62.8141,0.00249328,1
128,9,199,1030,52.697,0.00251849,1
129,9,199,1030,84.7236,0.00263619,1
130,7,231,1389,64.4675,0.00320848,1
131,7,231,1389,85.8225,0.003319,1
132,7,231,1389,91.2165,0.00365514,1
133,7,231,1389,69.1174,0.00330981,1
134,7,231,1389,79.9478,0.00348688,1
135,8,295,782,82.917,0.00242858,1
136,8,295,782,62.4433,0.00241238,1
137,8,295,782,69.1875,0.00236759,1
138,8,295,782,54.2939,0.00238585,1
139,8,295,782,62.8541,0.00234203,1
140,6,241,990,62.1339,0.00258093,1
141,6,241,990,86.3264,0.00262196,1
142,6,241,990,97.7342,0.00253402,1
143,6,241,990,79.4686,0.00263015,1
144,6,241,990,78.7917,0.0025786,1
145,10,210,961,78.2692,0.00258407,1
146,10,210,961,70.7404,0.00253101,1
147,10,210,961,92.2919,0.00237903,1
148,10,210,961,71.119,0.00254112,1
149,10,210,961,92.2632,0.00245659,1
150,5,234,1284,54.2607,0.00323443,1
151,5,234,1284,86.735,0.00341748,1
152,5,234,1284,60.7854,0.0033287,1
153,5,234,1284,86.6496,0.00311525,1
154,5,234,1284,58.2747,0.00307146,1
155,4,147,446,54.4138,0.00126656,1
156,4,147,446,73.8425,0.0013056,1
157,4,147,446,57.6806,0.00125428,1
158,4,147,446,52.8288,0.00141638,1
159,4,147,446,57.0816,0.00132085,1
160,3,172,1267,63.9942,0.00297166,1
161,3,172,1267,64.9535,0.00292623,1
162,3,172,1267,68.5756,0.00292624,1
163,3,172,1267,67.4302,0.002929,1
164,3,172,1267,66.6977,0.00294045,1
165,9,168,1163,85.3274,0.00271823,1
166,9,168,1163,90.1667,0.00271995,1
167,9,168,1163,79.2619,0.00270711,1
168,9,168,1163,56.7738,0.00271117,1
169,9,168,1163,74.3393,0.0026367,1
170,6,283,1328,94.2297,0.00340494,1
171,6,283,1328,96.1696,0.00357775,1
172,6,283,1328,77.1566,0.00331734,1
173,6,283,1328,68.1702,0.0035109,1
174,6,283,1328,69.2456,0.00337831,1
175,4,114,689,66.4211,0.00165814,1
176,4,114,689,72.4211,0.00168659,1
177,4,114,689,58.2632,0.00167377,1
178,4,114,689,82.2895,0.00164651,1
179,4,114,689,88.3333,0.00165725,1
180,4,258,1068,60.9884,0.00281442,1
181,4,258,1068,71.8672,0.00277831,1
182,4,258,1068,76.0709,0.00283702,1
183,4,258,1068,50.2879,0.00278065,1
184,4,258,1068,58.1628,0.00277177,1
185,10,281,305,66.1493,0.00132159,1
186,10,281,305,38.2278,0.00127261,1
187,10,281,305,68.5385,0.00130131,1
188,10,281,305,30,0.00137937,1
189,10,281,305,63.1277,0.00129901,1
190,4,188,1297,76.484,0.00300112,1
191,4,188,1297,67.9309,0.00304037,1
192,4,188,1297,73.7394,0.00304509,1
193,4,188,1297,75.0319,0.00313758,1
194,4,188,1297,79.2872,0.00304491,1
195,6,204,223,41.4017,0.00100407,1
196,6,204,223,65.1754,0.00105052,1
197,6,204,223,61.6542,0.000958262,1
198,6,204,223,62.25,0.000979623,1
199,6,204,223,48.5,0.00102463,1
200,8,106,692,82.5377,0.00164464,1
201,8,106,692,94.8019,0.00164124,1
202,8,106,692,44.9906,0.00169972,1
203,8,106,692,42.217,0.00158783,1
204,8,106,692,51.8774,0.00170833,1
205,6,219,354,56.676,0.00130117,1
206,6,219,354,64.6686,0.00133315,1
207,6,219,354,59.2081,0.00134707,1
208,6,219,354,91.4565,0.0013556,1
209,6,219,354,57.44,0.00137451,1
210,5,300,671,77.6439,0.00214067,1
211,5,300,671,85.8893,0.00223695,1
212,5,300,671,76.9964,0.00215687,1
213,5,300,671,101.804,0.00217953,1
214,5,300,671,80.9317,0.00220592,1
215,5,258,1298,57.2985,0.00321003,1
216,5,258,1298,45.155,0.00326155,1
217,5,258,1298,48.1051,0.00327865,1
218,5,258,1298,48.4008,0.0032674,1
219,5,258,1298,67.2791,0.00327503,1
220,9,138,986,78.9638,0.00230422,1
221,9,138,986,80.4855,0.0023793,1
222,9,138,986,49.058,0.00232041,1
223,9,138,986,68.2319,0.00221811,1
224,9,138,986,84.0217,0.00239086,1
225,8,183,310,73.3287,0.00112226,1
226,8,183,310,56.9803,0.00112805,1
227,8,183,310,58.4932,0.0011349,1
228,8,183,310,69.7687,0.00109485,1
229,8,183,310,35.0164,0.00111388,1
230,6,132,1130,96.4091,0.00247584,1
231,6,132,1130,70.1136,0.00253061,1
232,6,132,1130,81.197,0.00253735,1
233,6,132,1130,92.2652,0.00250539,1
234,6,132,1130,59.6894,0.00257931,1
235,9,155,488,68.4027,0.00141325,1
236,9,155,488,86.5197,0.00143286,1
237,9,155,488,47.9662,0.00135335,1
238,9,155,488,65.7105,0.00140109,1
239,9,155,488,59.7432,0.00145241,1
240,3,240,901,53.0667,0.00238919,1
241,3,240,901,64.4167,0.0024291,1
242,3,240,901,79.6471,0.00242049,1
243,3,240,901,64.3975,0.00241624,1
244,3,240,901,76.7322,0.00243962,1
245,9,136,359,63.0781,0.00111521,1
246,9,136,359,82.8106,0.00107811,1
247,9,136,359,71.8231,0.00107541,1
248,9,136,359,80.6562,0.00107597,1
249,9,136,359,71.1008,0.0010954,1
250,10,108,899,88.1574,0.00193208,1
251,10,108,1048,94.6759,0.00223169,1
252,10,108,934,78.0926,0.00204856,1
253,10,108,1039,74.0741,0.00225541,1
254,10,108,1076,66.3611,0.00226415,1
255,10,215,693,67.1353,0.00193072,1
256,10,215,693,80.0048,0.0019377,1
257,10,215,693,69.8122,0.00201793,1
258,10,215,693,61.3589,0.00194001,1
259,10,215,693,57.1635,0.00194819,1
260,4,147,1004,51.4966,0.00236665,1
261,4,147,1004,98.3742,0.00234386,1
262,4,147,1004,74.7007,0.00240833,1
263,4,147,1004,66.5374,0.00238017,1
264,4,147,1004,63.7755,0.00236912,1
265,7,243,1160,85.4504,0.00291545,1
266,7,243,1160,91.2551,0.00297819,1
267,7,243,1160,72.7243,0.00337214,1
268,7,243,1160,82.4876,0.00296715,1
269,7,243,1160,83.8589,0.00292604,1
270,9,294,417,60.7238,0.00155123,1
271,9,294,417,61.8148,0.00160858,1
272,9,294,417,66.3737,0.00163185,1
273,9,294,417,39.5571,0.00159036,1
274,9,294,417,42.4731,0.00156889,1
275,10,100,601,123.97,0.00144509,1
276,10,100,601,49.02,0.00138956,1
277,10,100,601,89.42,0.00140038,1
278,10,100,601,68.76,0.00140846,1
279,10,100,601,99.24,0.0014556,1
280,5,278,258,45.8909,0.00121774,1
281,5,278,258,57.7481,0.0012138,1
282,5,278,258,62.4701,0.00120709,1
283,5,278,258,57.7642,0.00126245,1
284,5,278,258,99.9,0.00126224,1
285,10,212,621,66.7805,0.00188583,1
286,10,212,621,62.1683,0.00187119,1
287,10,212,621,65.5939,0.00176935,1
288,10,212,621,51.801,0.00186352,1
289,10,212,621,57.2981,0.0018231,1
290,10,128,1276,71.4688,0.00277445,1
291,10,128,1276,91.8516,0.00276581,1
292,10,128,1276,87.2031,0.0027445,1
293,10,128,1276,79.5859,0.00270855,1
294,10,128,1276,85.5859,0.00288337,1
295,5,236,878,67.6478,0.00243925,1
296,5,236,878,45.3777,0.00245488,1
297,5,236,878,73.721,0.00247256,1
298,5,236,878,52.7554,0.00235486,1
299,5,236,878,68.206,0.00234765,1
300,7,154,806,112.929,0.00199385,1
301,7,154,806,83.1753,0.00206318,1
302,7,154,806,87.2549,0.00199315,1
303,7,154,806,82.4935,0.00198979,1
304,7,154,806,67.549,0.0021008,1
305,8,103,594,123.214,0.00142982,1
306,8,103,594,87.0874,0.00140807,1
307,8,103,594,86.7573,0.00145055,1
308,8,103,594,45.6602,0.0014307,1
309,8,103,594,84.8932,0.0014507,1
310,5,211,1031,57.5,0.00280771,1
311,5,211,1031,51.3649,0.0026691,1
312,5,211,1031,75.4,0.00286271,1
313,5,211,1031,70.5166,0.00260819,1
314,5,211,1031,64.1722,0.00266884,1
315,8,167,772,82.994,0.00192488,1
316,8,167,772,103.97,0.0020348,1
317,8,167,772,93.7169,0.00196245,1
318,8,167,772,62.4639,0.00198762,1
319,8,167,772,92.8683,0.00195419,1
320,5,218,202,45.6627,0.000932123,1
321,5,218,202,49.0777,0.000977629,1
322,5,218,202,45.5213,0.000973562,1
323,5,218,202,53.2655,0.000991405,1
324,5,218,202,40.0851,0.00102265,1
325,6,279,1483,69.0797,0.00365854,1
326,6,279,1483,67.1655,0.00378448,1
327,6,279,1483,82.7563,0.00366333,1
328,6,279,1483,83.3885,0.0036117,1
329,6,279,1483,60.9677,0.00361346,1
330,9,265,1168,91.0227,0.00311585,1
331,9,265,1168,62.5534,0.00300742,1
332,9,265,1168,68.8598,0.00312487,1
333,9,265,1168,81.5171,0.00312009,1
334,9,265,1168,86.4885,0.00314361,1
335,10,117,355,60.1552,0.00100822,1
336,10,117,355,61.4444,0.00105081,1
337,10,117,355,85.7913,0.00102051,1
338,10,117,355,66.4741,0.00104323,1
339,10,117,355,80.5517,0.00101416,1
340,9,234,332,35.162,0.00136072,1
341,9,234,332,85.6515,0.00126566,1
342,9,234,332,56.0473,0.00133228,1
343,9,234,332,65.7092,0.00127583,1
344,9,234,332,63.6165,0.0012734,1
345,8,204,939,71.9902,0.00259379,1
346,8,204,939,88.6946,0.00239655,1
347,8,204,939,75.1274,0.00247661,1
348,8,204,939,91.3333,0.00251837,1
349,8,204,939,91.5098,0.00240821,1
350,4,240,1323,62.475,0.00322977,1
351,4,240,1323,69.4125,0.00323328,1
352,4,240,1323,79.7292,0.00335898,1
353,4,240,1323,104.504,0.00326013,1
354,4,240,1323,70.4792,0.00338873,1
355,3,164,1365,91.7683,0.0031599,1
356,3,164,1365,61.4024,0.00317347,1
357,3,164,1365,66.2805,0.00309918,1
358,3,164,1365,76.3293,0.00317411,1
359,3,164,1365,73.4634,0.0031001,1
360,6,186,683,58.2802,0.00182129,1
361,6,186,683,70.4649,0.00191722,1
362,6,186,683,65.7011,0.00191378,1
363,6,186,683,52.8,0.00186153,1
364,6,186,683,53.4946,0.00185827,1
365,7,289,871,57.087,0.00257714,1
366,7,289,871,70.3697,0.00254496,1
367,7,289,871,63.13,0.00256278,1
368,7,289,871,59.0632,0.00252819,1
369,7,289,871,50.3225,0.00248043,1
370,4,287,1047,50.7199,0.00281589,1
371,4,287,1047,87.8908,0.00287002,1
372,4,287,1047,53.5053,0.00286413,1
373,4,287,1047,56.0526,0.0029622,1
374,4,287,1047,73.3852,0.00290672,1
375,3,272,1388,73.0846,0.00344498,1
376,3,272,1388,83.4412,0.00345881,1
377,3,272,1388,92.3934,0.0034223,1
378,3,272,1388,72.6618,0.00347576,1
379,3,272,1388,72.886,0.00348735,1
380,8,124,852,59.629,0.00193598,1
381,8,124,852,80.3871,0.00193331,1
382,8,124,852,75.8064,0.00197229,1
383,8,124,852,66.2339,0.00196258,1
384,8,124,852,61.7742,0.00194937,1
385,4,131,326,45.1111,0.001025,1
386,4,131,326,65.3543,0.00103437,1
387,4,131,326,42.9134,0.00107379,1
388,4,131,326,63.224,0.00103009,1
389,4,131,326,69.9225,0.00102925,1
390,6,209,1417,79.1244,0.00334786,1
391,6,209,1417,82.3445,0.00323817,1
392,6,209,1417,70.5359,0.00425172,1
393,6,209,1417,63.8612,0.00331024,1
394,6,209,1417,73.5694,0.00333738,1
395,8,237,459,64.5775,0.00150031,1
396,8,237,459,84.5482,0.00165937,1
397,8,237,459,59.8037,0.00168487,1
398,8,237,459,67.0628,0.0015398,1
399,8,237,459,60.1379,0.00154993,1
400,9,256,832,61.1352,0.00239742,1
401,9,256,832,67.8446,0.00236943,1
402,9,256,832,70.0607,0.00252264,1
403,9,256,832,58.1463,0.0023411,1
404,9,256,832,68.3745,0.00235377,1
405,8,104,890,105.038,0.0020408,1
406,8,104,890,83.2596,0.0019337,1
407,8,104,890,96.8942,0.00194744,1
408,8,104,890,70.8365,0.00191619,1
409,8,104,890,82,0.00205722,1
410,7,111,750,89.0901,0.00179637,1
411,7,111,750,74.1622,0.00172252,1
412,7,111,750,85.8018,0.00180351,1
413,7,111,750,59.2162,0.00170303,1
414,7,111,750,88.1171,0.00170324,1
415,10,287,909,65,0.00251831,1
416,10,287,909,63.7527,0.00280502,1
417,10,287,909,65.6714,0.0026736,1
418,10,287,909,71.1119,0.00265478,1
419,10,287,909,68.04,0.00253228,1
420,7,278,349,32.953,0.00145617,1
421,7,278,349,57.7391,0.00140863,1
422,7,278,349,58.5113,0.00139717,1
423,7,278,349,69.1837,0.00144435,1
424,7,278,349,86.3836,0.00151021,1
425,4,170,1009,75.2824,0.00233657,1
426,4,170,1009,91.3412,0.00240498,1
427,4,170,1009,66.3353,0.00240849,1
428,4,170,1009,65.1059,0.00236516,1
429,4,170,1009,71.0588,0.00236504,1
430,9,171,1235,58.9708,0.00282665,1
431,9,171,1235,68.4503,0.00289081,1
432,9,171,1235,82.4678,0.00283116,1
433,9,171,1235,67.4327,0.00276631,1
434,9,171,1235,90.655,0.00284114,1
435,7,164,1098,73.9573,0.00259914,1
436,7,164,1098,49.689,0.00254298,1
437,7,164,1098,56.3841,0.00251371,1
438,7,164,1098,83.9451,0.00254727,1
439,7,164,1098,57.2866,0.00254541,1
440,4,135,598,75.1037,0.00156115,1
441,4,135,598,89.1704,0.00154029,1
442,4,135,598,81.4148,0.00151699,1
443,4,135,598,75.1407,0.00152769,1
444,4,135,598,36.0296,0.00155161,1
445,4,236,1133,60.1653,0.00281226,1
446,4,236,1133,67.089,0.0028817,1
447,4,236,1133,61.0254,0.0027554,1
448,4,236,1133,69.3771,0.00288663,1
449,4,236,1133,86.428,0.00285604,1
450,5,207,603,79.3179,0.00177257,1
451,5,207,603,64.0049,0.00172725,1
452,5,207,603,66.5459,0.00180203,1
453,5,207,603,61.0347,0.00191137,1
454,5,207,603,93.0792,0.00181455,1
455,7,170,843,69.9059,0.00211864,1
456,7,170,843,80.8639,0.00210196,1
457,7,170,843,104.429,0.00210522,1
458,7,170,843,65.8402,0.00206554,1
459,7,170,843,67.8059,0.00205002,1
460,10,259,516,57.9784,0.00171668,1
461,10,259,516,56.2803,0.00177507,1
462,10,259,516,61.5467,0.00179903,1
463,10,259,516,44.25,0.00171,1
464,10,259,516,57.2377,0.00171473,1
465,7,200,945,70.4221,0.00241789,1
466,7,200,945,65.54,0.00248985,1
467,7,200,945,67.5226,0.00240509,1
468,7,200,945,78.31,0.00230572,1
469,7,200,945,81.7839,0.0023754,1
470,10,128,1255,88.75,0.00264479,1
471,10,128,1255,74.2656,0.00290569,1
472,10,128,1255,49.3125,0.00267566,1
473,10,128,1255,84.3984,0.00270591,1
474,10,128,1255,99.9766,0.00268431,1
475,7,118,1092,47.1186,0.00250644,1
476,7,118,1092,58.8559,0.00241757,1
477,7,118,1092,71.9915,0.00247939,1
478,7,118,1092,87.3559,0.00238377,1
479,7,118,1092,61.2458,0.00237343,1
480,4,216,1189,72.5046,0.00286089,1
481,4,216,1189,84.2222,0.00285556,1
482,4,216,1189,53.912,0.00303617,1
483,4,216,1189,77.7824,0.00296685,1
484,4,216,1189,74.3981,0.0028777,1
485,3,180,522,68.3034,0.00159339,1
486,3,180,522,68.6425,0.00151533,1
