index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,1227,2500,205.062,5.12752,1
1,5,1227,2500,143.333,5.27269,1
2,5,1227,2500,255.143,5.05628,1
3,5,1227,2500,159.194,4.98536,1
4,5,1227,2500,180.077,5.05331,1
5,5,1062,2500,249.733,3.71833,1
6,5,1062,2500,135.048,3.78787,1
7,5,1062,2500,245.846,3.671,1
8,5,1062,2500,150.962,3.7017,1
9,5,1062,2500,180.7,3.8238,1
10,5,683,2500,136.375,1.56348,1
11,5,683,2500,130.185,1.68102,1
12,5,683,2500,163.542,1.66472,1
13,5,683,2500,122.836,1.66405,1
14,5,683,2500,181.933,1.69615,1
15,5,1322,2500,259.3,5.90647,1
16,5,1322,2500,254.143,5.93531,1
17,5,1322,2500,211.4,6.33747,1
18,5,1322,2500,219.429,5.99141,1
19,5,1322,2500,306.667,6.04784,1
20,5,1290,2500,174.043,5.82059,1
21,5,1290,2500,206.071,5.79614,1
22,5,1290,2500,210.538,5.74231,1
23,5,1290,2500,193.25,5.81525,1
24,5,1290,2500,166.875,5.73951,1
25,5,1214,2500,318.636,5.14756,1
26,5,1214,2500,174.4,5.18499,1
27,5,1214,2500,314.273,5.12133,1
28,5,1214,2500,181,5.07449,1
29,5,1214,2500,297.19,4.96991,1
30,5,352,2500,105.87,0.635625,1
31,5,352,2500,95.2283,0.660844,1
32,5,352,2500,127.583,0.596105,1
33,5,352,2500,116.402,0.652821,1
34,5,352,2500,128,0.625644,1
35,5,577,2500,157.143,1.27905,1
36,5,577,2500,121.054,1.27267,1
37,5,577,2500,129.068,1.23285,1
38,5,577,2500,156.44,1.18093,1
39,5,577,2500,126.861,1.28811,1
40,5,1953,2500,288.889,14.1287,1
41,5,1953,2500,277.444,13.8317,1
42,5,1953,2500,214.318,14.336,1
43,5,1953,2500,206.917,14.102,1
44,5,1953,2500,251.222,13.8876,1
45,5,1918,2500,206.433,13.8792,1
46,5,1918,2500,326.118,13.4249,1
47,5,1918,2500,253.909,13.4056,1
48,5,1918,2500,218.619,13.5547,1
49,5,1918,2500,391.833,13.4176,1
50,5,1129,2500,256,4.32455,1
51,5,1129,2500,185.625,4.28106,1
52,5,1129,2500,198.375,4.18554,1
53,5,1129,2500,200.25,4.30612,1
54,5,1129,2500,241.417,4.50201,1
55,5,685,2500,179.5,1.55357,1
56,5,685,2500,117.524,1.59727,1
57,5,685,2500,145.526,1.64456,1
58,5,685,2500,160.842,1.66788,1
59,5,685,2500,179.905,1.69518,1
60,5,1801,2500,216.68,11.5102,1
61,5,1801,2500,197.923,12.0639,1
62,5,1801,2500,246,11.7738,1
63,5,1801,2500,203.189,11.5941,1
64,5,1801,2500,257.273,11.6837,1
65,5,276,2500,81.5323,0.533875,1
66,5,276,2500,114.912,0.593729,1
67,5,276,2500,107.51,0.555238,1
68,5,276,2500,101.409,0.545609,1
69,5,276,2500,114.388,0.48316,1
70,5,375,2500,110.94,0.726087,1
71,5,375,2500,92.075,0.708679,1
72,5,375,2500,125.632,0.678098,1
73,5,375,2500,158.603,0.751368,1
74,5,375,2500,148.5,0.655722,1
75,5,1136,2500,157.203,4.42025,1
76,5,1136,2500,154.689,4.38576,1
77,5,1136,2500,194.829,4.50926,1
78,5,1136,2500,220,4.50751,1
79,5,1136,2500,186.214,4.32023,1
80,5,360,2500,115.189,0.71978,1
81,5,360,2500,123.153,0.62852,1
82,5,360,2500,111.913,0.726872,1
83,5,360,2500,108.58,0.632571,1
84,5,360,2500,127.996,0.628314,1
85,5,843,2500,164.35,2.45909,1
86,5,843,2500,137.824,2.43691,1
87,5,843,2500,173.143,2.37492,1
88,5,843,2500,186.75,2.32272,1
89,5,843,2500,185.562,2.45461,1
90,5,233,2500,95.0637,0.564554,1
