index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,168.667,1.17511,1
1,5,166,997,270.28,0.501271,1
2,5,166,976,178.393,1.14265,1
3,5,166,1011,151.957,1.74218,1
4,5,166,984,134.816,6.73067,1
5,7,212,824,229.41,1.11204,1
6,7,212,805,184.417,0.371617,1
7,7,212,841,161.378,0.579227,1
8,7,212,858,231.312,0.907006,1
9,7,212,806,152.44,1.16204,1
10,5,178,1004,210.84,2.42291,1
11,5,178,967,292.806,4.19886,1
12,5,178,994,187.607,8.67072,1
13,5,178,1024,189.284,7.49603,1
14,5,178,1030,232.823,1.7086,1
15,3,148,930,281.045,0.990539,1
16,3,148,852,233.771,1.03637,1
17,3,148,886,321.158,0.49289,1
18,3,148,874,214.25,0.456498,1
19,3,148,922,233.172,1.31798,1
20,5,145,543,151.385,0.702993,1
21,5,145,585,239.6,0.259791,1
22,5,145,496,257.771,0.398324,1
23,5,145,585,219.769,0.368043,1
24,5,145,552,303.5,0.481717,1
25,6,180,790,289.133,0.758521,1
26,6,180,782,176.06,2.7872,1
27,6,180,768,283.048,3.40967,1
28,6,180,795,153.5,2.0494,1
29,6,180,762,207.587,0.39138,1
30,4,55,95,380.778,0.0378063,1
31,4,55,97,200.133,0.0386681,1
32,4,55,108,280.222,0.0182652,1
33,4,55,100,210.273,0.0302218,1
34,4,55,101,309.857,0.0413098,1
35,8,197,860,175.149,16.4107,1
36,8,197,901,157.611,1.71444,1
37,8,197,850,156.292,8.302,1
38,8,197,828,163.521,12.4566,1
39,8,197,853,155.353,3.80269,1
40,3,98,406,160.231,0.170502,1
41,3,98,359,452.214,0.179606,1
42,3,98,391,184.625,0.0555149,1
43,3,98,356,245.111,0.0770435,1
44,3,98,375,278.429,0.180572,1
45,8,207,941,217.608,6.50552,1
46,8,207,964,161.172,1.73132,1
47,8,207,960,157.837,7.29587,1
48,8,207,944,123.818,2.83146,1
49,8,207,939,230.08,4.31076,1
50,3,73,223,307.111,0.0610791,1
51,3,73,236,181.7,0.0238562,1
52,3,73,226,356.727,0.0550716,1
53,3,73,232,388,0.0985797,1
54,3,73,222,173.143,0.0736247,1
55,4,63,157,245,0.0324615,1
56,4,63,172,419.429,0.0242893,1
57,4,63,136,354.615,0.0355117,1
58,4,63,132,169,0.027964,1
59,4,63,136,209.333,0.0269946,1
60,7,149,522,247.95,0.149929,1
61,7,149,563,185.114,0.184693,1
62,7,149,525,166.257,0.249418,1
63,7,149,511,245.364,0.177683,1
64,7,149,502,255.556,0.166171,1
65,8,167,671,219,4.82671,1
66,8,167,699,200.653,0.51758,1
67,8,167,696,250.837,0.355712,1
68,8,167,658,276.14,3.21846,1
69,8,167,673,230.448,0.804062,1
70,7,157,641,227.25,0.779364,1
71,7,157,643,192.586,0.731861,1
72,7,157,666,234.347,0.792678,1
73,7,157,695,189.981,0.428429,1
74,7,157,665,251.938,0.803039,1
75,6,189,950,143.31,3.98526,1
76,6,189,979,170.56,1.71209,1
77,6,189,977,203.276,1.06738,1
78,6,189,915,162.242,1.01064,1
79,6,189,957,215.333,0.378346,1
80,7,132,423,260,0.220575,1
81,7,132,436,239.429,0.454497,1
82,7,132,455,191.9,0.323075,1
83,7,132,454,260.527,0.316723,1
84,7,132,460,154.727,0.322162,1
85,5,104,388,274.467,0.089396,1
86,5,104,387,173.5,0.157961,1
87,5,104,375,286.522,0.0869208,1
88,5,104,397,185.75,0.120202,1
89,5,104,389,323.867,0.0923703,1
90,7,63,80,228.778,0.0172872,1
91,7,63,79,196.28,0.0152394,1
92,7,63,64,107.583,0.00766814,1
93,7,63,66,220.917,0.0121807,1
94,7,63,85,183.739,0.0345971,1
95,4,53,97,137.533,0.021535,1
96,4,53,97,43.5455,0.0258102,1
97,4,53,98,353.4,0.0182046,1
98,4,53,101,155,0.0311515,1
99,4,53,95,181.75,0.013913,1
100,7,103,221,180.545,0.0768168,1
101,7,103,250,145.156,0.218413,1
102,7,103,262,105.619,0.16111,1
103,7,103,267,160.65,0.117565,1
104,7,103,238,175.083,0.176107,1
105,6,184,880,222.486,3.11245,1
106,6,184,914,235.061,0.925773,1
107,6,184,915,242.887,5.13511,1
108,6,184,900,219.389,3.57951,1
109,6,184,882,240.68,3.02009,1
110,3,178,1407,163.757,8.04404,1
111,3,178,1408,157.909,1.74317,1
112,3,178,1415,151.913,1.50304,1
113,3,178,1459,225.833,0.740975,1
114,3,178,1435,179.5,1.20576,1
115,7,103,277,290.303,0.253441,1
116,7,103,273,205.5,0.260783,1
117,7,103,312,175.795,0.233566,1
118,7,103,294,274.417,0.207623,1
119,7,103,296,245.786,0.223293,1
120,4,206,1925,155.721,13.5809,1
121,4,206,1968,175.72,3.58339,1
122,4,206,1942,220.906,38.154,1
123,4,206,1874,160.944,8.15037,1
124,4,206,1935,193.756,9.08309,1
125,8,202,978,191.972,14.1661,1
126,8,202,968,214.629,8.37117,1
127,8,202,998,192.692,31.5933,1
128,8,202,972,201.737,6.00005,1
129,8,202,982,187.82,9.14266,1
130,3,138,959,298.929,0.833216,1
131,3,138,912,312.588,0.562909,1
132,3,138,972,235.667,1.57233,1
133,3,138,941,323.615,0.303666,1
134,3,138,952,246.208,0.877288,1
135,8,177,750,281.949,15.5338,1
136,8,177,737,241.349,0.814214,1
137,8,177,749,251.765,1.92403,1
138,8,177,775,218.208,0.929514,1
139,8,177,749,228.207,5.10972,1
140,5,184,1011,196.321,0.869165,1
141,5,184,1018,277.688,1.23928,1
142,5,184,1001,261.6,0.369734,1
143,5,184,1042,182.833,1.25536,1
144,5,184,1024,237.861,0.949287,1
145,3,206,1453,214.55,0.89992,1
146,3,206,1425,274.188,1.4027,1
147,3,206,1427,195.455,5.43256,1
148,3,206,1404,248,1.307,1
149,3,206,1400,237.7,1.45601,1
150,3,71,210,479.286,0.0465646,1
151,3,71,193,264.167,0.0444012,1
152,3,71,215,322.833,0.0722938,1
153,3,71,216,292.9,0.0636673,1
154,3,71,200,276.625,0.0403694,1
155,8,115,396,208.605,0.438753,1
156,8,115,367,290.316,0.374071,1
157,8,115,350,184.431,0.21383,1
158,8,115,354,217.85,0.743663,1
159,8,115,348,159.65,0.145511,1
160,7,64,91,250.917,0.0303667,1
161,7,64,85,87.5,0.0216089,1
162,7,64,90,211.917,0.0387392,1
163,7,64,90,134.1,0.0452546,1
164,7,64,85,98.7692,0.0172584,1
165,8,59,68,105.917,0.0141974,1
166,8,59,71,129.136,0.0160402,1
167,8,59,51,-0,0.00547922,1
168,8,59,71,181,0.009834,1
169,8,59,67,169.357,0.0312676,1
170,8,122,342,127.151,0.365583,1
171,8,122,332,211.35,0.234268,1
172,8,122,353,197.581,0.418035,1
173,8,122,351,236.263,0.32179,1
174,8,122,343,218.029,0.396415,1
175,4,156,960,252.034,3.73468,1
176,4,156,1002,226.9,3.57426,1
177,4,156,971,173.13,1.29765,1
178,4,156,976,267.594,1.66726,1
179,4,156,971,199.759,1.75489,1
180,8,123,288,232.514,0.205962,1
181,8,123,288,267.882,0.0578805,1
182,8,123,280,250.885,0.124855,1
183,8,123,294,213.523,0.196938,1
184,8,123,273,165.789,0.14132,1
185,5,75,162,259.222,0.0455038,1
186,5,75,182,276.161,0.0814872,1
187,5,75,155,174.538,0.0897288,1
188,5,75,182,243.5,0.0552983,1
189,5,75,191,302.462,0.108209,1
190,6,172,855,243.75,0.624305,1
191,6,172,879,254.938,0.653066,1
192,6,172,855,225.042,0.449422,1
193,6,172,912,254.075,1.71702,1
194,6,172,874,231.708,0.388452,1
195,4,110,518,201.182,0.0698972,1
196,4,110,546,207.25,0.119303,1
197,4,110,525,238.8,0.192451,1
198,4,110,529,163,0.262346,1
199,4,110,542,330.143,0.075309,1
200,3,93,396,421.143,0.0487176,1
201,3,93,395,227.52,0.128732,1
202,3,93,354,148.353,0.0879458,1
203,3,93,380,155.294,0.121319,1
204,3,93,394,356.571,0.0587071,1
205,7,105,315,215.444,0.173745,1
206,7,105,310,202.023,0.217092,1
207,7,105,315,211.2,0.237036,1
208,7,105,338,211.722,0.201801,1
209,7,105,316,244.548,0.168598,1
210,5,112,469,200.796,0.239527,1
211,5,112,450,182.536,0.203063,1
212,5,112,473,208.591,0.147808,1
213,5,112,527,279,0.237578,1
214,5,112,495,140.429,0.23111,1
215,6,135,470,188.864,0.316599,1
216,6,135,453,234.385,1.25383,1
217,6,135,482,251.917,0.329007,1
218,6,135,483,219.818,0.272369,1
219,6,135,442,230.368,0.254903,1
220,8,202,1024,196,1.37804,1
221,8,202,1052,208.143,5.26576,1
222,8,202,1003,213.722,3.17226,1
223,8,202,1015,189.476,0.743099,1
224,8,202,1011,193.575,0.781052,1
225,5,61,107,339.933,0.0422482,1
226,5,61,94,282.45,0.0433638,1
227,5,61,101,274.176,0.0299813,1
228,5,61,93,205.75,0.0314035,1
229,5,61,112,228.421,0.0257382,1
230,8,61,93,205.938,0.031185,1
231,8,61,83,101.636,0.0196348,1
232,8,61,95,268.5,0.0355812,1
233,8,61,88,148.5,0.0256022,1
234,8,61,90,244.5,0.0194059,1
235,3,186,1428,224.182,2.07846,1
236,3,186,1318,192.059,2.05682,1
237,3,186,1323,351.069,3.09236,1
238,3,186,1328,202.851,1.39994,1
239,3,186,1343,211.143,2.95777,1
240,6,105,334,169.379,0.141374,1
241,6,105,316,201.929,0.118247,1
242,6,105,322,174.545,0.125923,1
243,6,105,312,132.458,0.0446929,1
244,6,105,307,172.056,0.176149,1
245,5,114,346,275.231,0.0511743,1
246,5,114,299,371.667,0.0512302,1
247,5,114,342,114.462,0.179106,1
248,5,114,342,319.417,0.0505401,1
249,5,114,328,217.85,0.16023,1
250,6,169,775,210.867,0.624178,1
251,6,169,698,227.333,0.714527,1
252,6,169,701,213.636,0.626286,1
253,6,169,678,219.471,0.637214,1
254,6,169,716,223.865,1.20049,1
255,7,149,514,235.38,0.280138,1
256,7,149,501,215.864,0.208251,1
257,7,149,520,207.645,0.246868,1
258,7,149,471,249.86,0.172101,1
259,7,149,499,225.115,0.404322,1
260,5,139,560,279.083,1.08538,1
261,5,139,496,329.333,0.465388,1
262,5,139,538,195.9,0.200709,1
263,5,139,503,287,0.370723,1
264,5,139,531,218.588,0.221791,1
265,7,118,455,151.219,0.229238,1
266,7,118,440,216.625,0.181898,1
267,7,118,472,224.429,0.0601296,1
268,7,118,448,180.88,0.145922,1
269,7,118,467,249,0.143264,1
270,7,215,953,199.243,1.80107,1
271,7,215,989,176.24,3.09154,1
272,7,215,987,217.413,2.02586,1
273,7,215,1025,255.763,5.89085,1
274,7,215,994,204.8,1.41203,1
275,8,184,851,187.078,1.70249,1
276,8,184,822,221.517,9.30898,1
277,8,184,825,176.238,3.54143,1
278,8,184,891,182.766,12.1135,1
279,8,184,846,194.019,4.5941,1
280,3,108,509,273.2,0.299565,1
281,3,108,510,257.389,0.278372,1
282,3,108,492,313.067,0.242124,1
283,3,108,470,193.545,0.0837892,1
284,3,108,508,235.583,0.216338,1
285,7,61,106,97.3571,0.0881458,1
286,7,61,104,180.111,0.0303457,1
287,7,61,110,160.654,0.0797993,1
288,7,61,104,156.429,0.0322673,1
289,7,61,99,125.826,0.019361,1
290,4,177,1167,196.831,0.606391,1
291,4,177,1144,292.105,0.892283,1
292,4,177,1167,278.19,0.619159,1
293,4,177,1108,270.476,0.402609,1
294,4,177,1174,273,0.769461,1
295,5,199,1364,138.53,1.39919,1
296,5,199,1410,111.21,7.6636,1
297,5,199,1313,153.239,3.98152,1
298,5,199,1315,161.6,0.903008,1
299,5,199,1399,116.377,10.443,1
300,4,155,771,160.464,0.333743,1
301,4,155,758,384.214,0.275501,1
302,4,155,804,191.762,0.222162,1
303,4,155,834,214.941,0.473415,1
304,4,155,768,310.333,0.133604,1
305,3,98,338,253.556,0.117036,1
306,3,98,339,325.583,0.120008,1
307,3,98,326,129.41,0.106232,1
308,3,98,340,236,0.116253,1
309,3,98,351,277,0.0791948,1
310,3,82,389,168.444,0.136347,1
311,3,82,392,312.294,0.211017,1
312,3,82,390,185.875,0.111626,1
313,3,82,388,435.833,0.0651047,1
314,3,82,383,223.4,0.0531337,1
315,5,212,1552,221.131,1.1747,1
316,5,212,1548,203.471,0.690727,1
317,5,212,1535,193.37,2.97438,1
318,5,212,1577,227.462,0.877961,1
319,5,212,1621,179.095,2.02488,1
320,4,112,436,268.633,0.469188,1
321,4,112,416,342.615,0.156785,1
322,4,112,409,198,0.209824,1
323,4,112,412,264.429,0.158492,1
324,4,112,424,355.348,0.229213,1
325,5,135,615,200.192,0.155456,1
326,5,135,643,196.667,0.194125,1
327,5,135,635,198.444,0.17415,1
328,5,135,630,183.188,0.0706971,1
329,5,135,618,255.826,0.117413,1
330,6,84,209,310.8,0.126921,1
331,6,84,196,250.308,0.0791092,1
332,6,84,212,288.645,0.120166,1
333,6,84,214,246.321,0.145999,1
334,6,84,196,287.903,0.113617,1
335,3,138,872,381.714,0.525111,1
336,3,138,924,247.172,0.746416,1
337,3,138,892,332.05,0.857217,1
338,3,138,904,196.75,0.318033,1
339,3,138,889,330.792,0.397398,1
340,8,143,366,216.827,0.647297,1
341,8,143,377,227.235,0.413804,1
342,8,143,381,229.4,0.691555,1
343,8,143,413,188.417,0.568254,1
344,8,143,430,243.235,1.94166,1
345,8,98,241,143.567,0.154584,1
346,8,98,238,236.5,0.103025,1
347,8,98,250,206,0.160315,1
348,8,98,248,176.87,0.115748,1
349,8,98,251,289.143,0.128049,1
350,6,147,597,207.902,0.709429,1
351,6,147,645,210.408,0.402387,1
352,6,147,624,266.895,0.540873,1
353,6,147,630,185.493,2.33741,1
354,6,147,622,200.583,0.97502,1
355,5,58,70,206.143,0.0121745,1
356,5,58,62,468.8,0.0118672,1
357,5,58,64,301.833,0.0139722,1
358,5,58,52,298.4,0.00985496,1
359,5,58,73,272.5,0.0105611,1
360,6,105,281,260.167,0.161612,1
361,6,105,282,224.676,0.148988,1
362,6,105,264,259.214,0.176045,1
363,6,105,287,220.769,0.101256,1
364,6,105,275,301,0.167931,1
365,7,73,108,206.3,0.0313721,1
366,7,73,120,285.952,0.0346407,1
367,7,73,116,224.909,0.0270672,1
368,7,73,123,224.857,0.0409359,1
369,7,73,114,159.214,0.0281312,1
370,4,70,145,94.2857,0.047488,1
371,4,70,138,282.5,0.0389511,1
372,4,70,122,289.214,0.0713627,1
373,4,70,147,271.381,0.0875845,1
374,4,70,147,298.125,0.0539968,1
375,3,189,1689,274.4,0.74698,1
376,3,189,1708,282.867,0.71075,1
377,3,189,1736,218.81,1.07916,1
378,3,189,1730,192.636,0.809794,1
379,3,189,1648,215.692,0.455888,1
380,8,187,775,194.294,4.61175,1
381,8,187,730,214.289,0.738839,1
382,8,187,731,259.444,0.227766,1
383,8,187,765,193.969,0.458957,1
384,8,187,784,159.625,0.921131,1
385,6,70,139,294.636,0.0899013,1
386,6,70,111,364,0.0553793,1
387,6,70,125,122,0.0399862,1
388,6,70,127,331.8,0.0237076,1
389,6,70,103,316.6,0.0236585,1
390,7,110,210,337.25,0.0899247,1
391,7,110,208,347.6,0.0586158,1
392,7,110,218,337.31,0.108317,1
393,7,110,214,227.1,0.193792,1
394,7,110,232,297.304,0.109627,1
395,5,97,258,285.267,0.194058,1
396,5,97,283,341.632,0.149671,1
397,5,97,267,192.143,0.121081,1
398,5,97,278,257.929,0.116772,1
399,5,97,284,167.294,0.0780073,1
400,4,107,331,290.667,0.0465217,1
401,4,107,314,171.286,0.119241,1
402,4,107,308,181.667,0.092091,1
403,4,107,365,271.571,0.0760196,1
404,4,107,332,244.769,0.0597099,1
405,7,113,242,195.448,0.163649,1
406,7,113,269,244.238,0.168175,1
407,7,113,242,171.368,0.117365,1
408,7,113,241,202.455,0.120789,1
409,7,113,249,146.765,0.36758,1
410,4,93,273,288.938,0.0621478,1
411,4,93,260,241.1,0.126844,1
412,4,93,279,252.154,0.0901747,1
413,4,93,249,175.143,0.067199,1
414,4,93,260,253.364,0.0355549,1
415,6,91,174,182.071,0.071342,1
416,6,91,175,172.538,0.0780784,1
417,6,91,198,179.714,0.100827,1
418,6,91,202,179.63,0.142669,1
419,6,91,183,240.105,0.0867061,1
420,4,156,946,173.089,0.907239,1
421,4,156,899,220.5,0.775421,1
422,4,156,896,196.069,0.884717,1
423,4,156,865,131.208,2.05158,1
424,4,156,909,195.618,0.900792,1
425,3,199,1725,194.5,1.46711,1
426,3,199,1740,210.667,1.16872,1
427,3,199,1690,249.926,1.642,1
428,3,199,1747,204.278,1.62453,1
429,3,199,1695,221.095,1.32806,1
430,5,175,962,264.95,0.6864,1
431,5,175,975,210.074,0.499952,1
432,5,175,906,209.082,0.447673,1
433,5,175,957,237.556,0.627666,1
434,5,175,979,212.889,3.14395,1
435,7,160,519,193.171,0.647341,1
436,7,160,475,302.143,0.682698,1
437,7,160,530,183.107,2.13875,1
438,7,160,500,211.2,10.0546,1
439,7,160,506,181.214,0.83565,1
440,7,192,951,191.829,14.0309,1
441,7,192,959,200.233,1.8106,1
442,7,192,937,168.613,13.878,1
443,7,192,994,211.959,5.14457,1
444,7,192,954,202.787,25.7609,1
445,4,173,979,185.382,2.02257,1
446,4,173,982,177.167,1.14296,1
447,4,173,1033,167.353,6.74565,1
448,4,173,993,152.76,1.83702,1
449,4,173,973,163.167,0.841427,1
450,4,217,1619,246.422,2.77358,1
451,4,217,1542,197.109,2.43627,1
452,4,217,1563,206.18,6.53635,1
453,4,217,1541,149.927,4.97403,1
454,4,217,1591,194.406,6.11296,1
455,8,210,818,220.655,3.50312,1
456,8,210,776,280.302,4.69441,1
457,8,210,797,270.394,3.97022,1
458,8,210,779,242.432,5.03483,1
459,8,210,783,210.581,4.6188,1
460,8,73,97,218.375,0.0469252,1
461,8,73,125,180.773,0.0422362,1
462,8,73,126,221.533,0.0411612,1
463,8,73,115,201.571,0.0584034,1
464,8,73,104,268.588,0.0280884,1
465,6,213,1203,229.067,6.18858,1
466,6,213,1308,193.184,3.47045,1
467,6,213,1258,217.649,0.374202,1
468,6,213,1223,156.227,2.00205,1
469,6,213,1252,225.971,4.43065,1
470,7,114,263,273,0.108616,1
471,7,114,260,265.357,0.144789,1
472,7,114,264,315.609,0.140236,1
473,7,114,290,212.042,0.178111,1
474,7,114,274,183.947,0.215016,1
475,8,164,648,260.516,0.472097,1
476,8,164,640,239.382,1.05288,1
477,8,164,665,209,1.35354,1
478,8,164,641,202.878,0.364324,1
479,8,164,642,228.486,0.73968,1
480,5,69,139,223,0.0186178,1
481,5,69,146,264.1,0.0240753,1
482,5,69,149,170,0.0272584,1
483,5,69,131,230.167,0.0528624,1
484,5,69,149,138.2,0.0464476,1
485,5,184,1077,237.636,0.984867,1
486,5,184,1120,150.325,0.418224,1
487,5,184,1107,142.211,1.09587,1
488,5,184,1114,202.424,0.716103,1
489,5,184,1141,191.113,0.889154,1
490,5,139,512,178.238,0.185877,1
491,5,139,499,292.2,0.634376,1
492,5,139,494,238.833,0.548875,1
493,5,139,484,181.923,0.359537,1
494,5,139,504,246.781,0.5208,1
495,6,202,1143,200.108,5.68802,1
496,6,202,1102,179.451,2.41866,1
497,6,202,1144,205.554,1.44142,1
498,6,202,1155,184.615,6.10534,1
499,6,202,1169,240.36,15.5508,1
500,8,182,630,299.457,1.16946,1
501,8,182,678,216.653,0.505027,1
502,8,182,633,271.981,6.59198,1
503,8,182,668,241.938,0.422198,1
504,8,182,652,231.169,0.453053,1
505,7,105,244,187.561,0.0926772,1
506,7,105,250,282.778,0.242284,1
507,7,105,260,326.946,0.264537,1
508,7,105,255,239.372,0.190516,1
509,7,105,252,243.556,0.274446,1
510,6,211,1044,166.817,6.18305,1
511,6,211,958,199.527,11.7056,1
512,6,211,1031,178.523,11.1638,1
513,6,211,1001,188.082,10.3313,1
514,6,211,950,246.85,6.4969,1
515,8,117,275,174,0.234437,1
516,8,117,255,178.788,0.212358,1
517,8,117,277,210.094,0.238598,1
518,8,117,291,274.094,0.579724,1
519,8,117,274,219.947,0.299391,1
520,5,149,659,199.789,0.484718,1
521,5,149,666,102.475,0.71238,1
522,5,149,655,153.179,0.326285,1
523,5,149,686,182.882,0.1773,1
524,5,149,674,207.619,0.40162,1
525,4,56,130,261.467,0.0618824,1
526,4,56,129,309.286,0.0197511,1
527,4,56,118,267.611,0.0464741,1
528,4,56,113,189.769,0.0378249,1
529,4,56,116,260.333,0.0303186,1
530,4,184,1169,181.122,9.96016,1
531,4,184,1170,119.695,4.55636,1
532,4,184,1135,153.167,1.03917,1
533,4,184,1211,212.312,1.28809,1
534,4,184,1145,232.833,1.34694,1
535,6,116,369,226.705,0.255696,1
536,6,116,329,307.545,0.294342,1
537,6,116,366,285.067,0.173854,1
538,6,116,362,263.019,0.373997,1
539,6,116,358,196.762,0.485869,1
540,7,177,797,269.375,0.575026,1
541,7,177,801,174.462,0.62525,1
542,7,177,811,210.885,0.571282,1
543,7,177,792,192.425,0.822384,1
544,7,177,765,293.962,0.52085,1
545,3,114,416,447,0.134879,1
546,3,114,418,230.955,0.157297,1
547,3,114,403,299.8,0.231771,1
548,3,114,413,238.8,0.0568594,1
549,3,114,426,260.9,0.140222,1
550,6,190,897,291.923,0.397488,1
551,6,190,891,257.167,1.08095,1
552,6,190,906,262.815,0.259814,1
553,6,190,871,294.5,0.226456,1
554,6,190,895,213.926,1.09897,1
555,4,202,1153,188.505,3.78211,1
556,4,202,1162,201.077,1.22566,1
557,4,202,1214,184,6.20764,1
558,4,202,1148,223.92,1.54197,1
559,4,202,1180,161.444,1.94922,1
560,7,204,1235,134.564,1.78978,1
561,7,204,1223,232.429,1.17474,1
562,7,204,1218,235.538,1.57308,1
563,7,204,1221,174.846,0.672754,1
564,7,204,1235,196.293,0.995985,1
565,7,165,723,175.791,0.511668,1
566,7,165,736,178.171,0.695667,1
567,7,165,740,228.24,0.50635,1
568,7,165,772,217.933,0.71397,1
569,7,165,716,144.08,2.48919,1
570,8,127,416,240.907,0.421003,1
571,8,127,396,200.5,0.299793,1
572,8,127,424,206.278,0.850146,1
573,8,127,433,284.214,0.646875,1
574,8,127,430,253.377,0.197723,1
575,4,127,738,223,0.258895,1
576,4,127,720,297.231,0.601819,1
577,4,127,720,220.7,0.271951,1
578,4,127,788,206.257,0.415383,1
579,4,127,723,169.821,0.41729,1
580,3,74,349,169.933,0.0448763,1
581,3,74,290,172.333,0.0629092,1
582,3,74,314,109.5,0.0798484,1
583,3,74,316,125.714,0.0985486,1
584,3,74,309,249.9,0.172982,1
585,6,219,1280,177.737,5.22453,1
586,6,219,1278,194.422,5.14216,1
587,6,219,1339,191.981,6.24078,1
588,6,219,1241,203.432,1.13894,1
589,6,219,1289,174.637,2.04071,1
590,7,132,307,219.5,0.17598,1
591,7,132,341,197.342,0.26104,1
592,7,132,391,182.281,0.231244,1
593,7,132,344,140.647,0.334122,1
594,7,132,353,163.805,0.368912,1
595,5,194,1014,234.589,10.9101,1
596,5,194,984,235.043,1.71885,1
597,5,194,1025,187.972,9.05569,1
598,5,194,999,176.105,4.0284,1
599,5,194,990,235.323,6.64641,1
600,3,50,126,296.6,0.0457515,1
601,3,50,133,181.167,0.0631049,1
602,3,50,140,253.2,0.0570503,1
603,3,50,132,314.75,0.0218413,1
604,3,50,143,229.158,0.0294431,1
605,4,178,1016,252.364,0.483066,1
606,4,178,1003,250.591,0.142724,1
607,4,178,988,149.207,1.02685,1
608,4,178,936,271.8,0.279384,1
609,4,178,943,206.667,0.194566,1
610,8,66,90,276.294,0.049759,1
611,8,66,104,336.261,0.0347405,1
612,8,66,89,338.48,0.0239652,1
613,8,66,92,288.875,0.031421,1
614,8,66,94,215,0.0573443,1
615,7,77,155,219.278,0.160997,1
616,7,77,172,236.265,0.111913,1
617,7,77,173,250.95,0.133188,1
618,7,77,167,229.784,0.109516,1
619,7,77,149,263.45,0.0358059,1
620,3,101,463,168.5,0.0890804,1
621,3,101,435,285.769,0.0383671,1
622,3,101,464,230.886,0.0791618,1
623,3,101,420,286.111,0.165562,1
624,3,101,433,352.625,0.0803315,1
625,4,68,228,128.576,0.0661459,1
626,4,68,215,286.654,0.113515,1
627,4,68,230,205.4,0.0345816,1
628,4,68,210,257,0.0583745,1
629,4,68,224,339.375,0.111695,1
630,8,148,511,208.619,1.12848,1
631,8,148,498,188.823,2.34656,1
632,8,148,515,236.42,2.55246,1
633,8,148,488,224.429,0.511759,1
634,8,148,474,222.962,3.54518,1
635,6,201,1227,174.976,1.70431,1
636,6,201,1156,195.216,4.99091,1
637,6,201,1197,176.794,3.45827,1
638,6,201,1186,169.348,5.02415,1
639,6,201,1148,175.744,7.06199,1
640,3,153,1329,263.667,0.13709,1
641,3,153,1344,239.217,0.433347,1
642,3,153,1377,193.938,0.287844,1
643,3,153,1371,200,0.672679,1
644,3,153,1392,259.625,0.341269,1
645,3,119,663,427.333,0.0471304,1
646,3,119,686,195,0.0513794,1
647,3,119,709,310.706,0.177819,1
648,3,119,683,343.077,0.173979,1
649,3,119,667,290.636,0.175734,1
650,6,194,1117,148.26,1.38897,1
651,6,194,1189,179.479,0.891623,1
652,6,194,1160,216.302,5.36927,1
653,6,194,1132,229.804,4.15503,1
654,6,194,1126,227.297,1.81863,1
655,3,174,1221,223.5,1.13739,1
656,3,174,1175,258.462,5.19859,1
657,3,174,1193,270.167,0.494224,1
658,3,174,1229,293.053,0.828698,1
659,3,174,1247,213.206,1.70371,1
660,7,211,1059,185.478,3.78526,1
661,7,211,1033,207,0.736824,1
662,7,211,1074,187.793,3.94772,1
663,7,211,1055,167.123,1.46155,1
664,7,211,1016,190.764,2.03748,1
665,4,196,1319,260.04,2.33227,1
666,4,196,1419,267.211,0.971374,1
667,4,196,1404,271.784,2.27161,1
668,4,196,1390,222.548,1.1129,1
669,4,196,1425,247.146,3.42683,1
670,7,191,989,198.568,0.690483,1
671,7,191,975,295,1.18618,1
672,7,191,980,213.636,3.06999,1
673,7,191,961,236.5,0.872188,1
674,7,191,1011,199.908,1.05274,1
675,5,211,1792,130.011,2.32283,1
676,5,211,1759,152.359,1.74607,1
677,5,211,1784,186.244,12.8388,1
678,5,211,1813,180.59,3.53966,1
679,5,211,1747,124.517,1.56957,1
680,7,190,753,181.634,5.96559,1
681,7,190,838,201.19,1.18515,1
682,7,190,774,190.078,11.2361,1
683,7,190,844,218.964,2.24634,1
684,7,190,851,211.469,0.883936,1
685,5,201,1505,228.929,7.80449,1
686,5,201,1366,203.07,3.61395,1
687,5,201,1434,239.684,9.65879,1
688,5,201,1432,206.15,18.7498,1
689,5,201,1427,195.792,1.89963,1
690,8,159,461,249.75,0.310922,1
691,8,159,467,225.65,0.198642,1
692,8,159,464,213.3,0.25821,1
693,8,159,486,215.474,0.579966,1
694,8,159,540,151.625,0.554475,1
695,5,115,520,198.2,0.11643,1
696,5,115,543,152.542,0.207914,1
697,5,115,579,124.381,0.436401,1
698,5,115,539,223,0.287547,1
699,5,115,557,150.706,0.28174,1
700,6,117,326,253.385,0.251908,1
701,6,117,324,230,0.371618,1
702,6,117,299,206.04,0.203469,1
703,6,117,319,201.568,0.192347,1
704,6,117,280,240.188,0.18875,1
705,4,135,693,263.261,0.518313,1
706,4,135,762,221.947,0.714842,1
707,4,135,724,211.824,0.39913,1
708,4,135,751,186.867,0.487009,1
709,4,135,686,225.312,0.347907,1
710,3,208,1676,196.826,7.86854,1
711,3,208,1664,244.568,8.96566,1
712,3,208,1769,233.053,6.04906,1
713,3,208,1729,221.263,1.51323,1
714,3,208,1715,245,5.61484,1
715,8,145,460,197.407,0.567598,1
716,8,145,457,136.634,2.91389,1
717,8,145,437,210.364,0.366083,1
718,8,145,483,152.048,3.0971,1
719,8,145,482,147.268,0.470083,1
720,8,193,658,218.378,3.18716,1
721,8,193,665,186.86,1.18336,1
722,8,193,607,169.426,0.753089,1
